account_name,social_network_id,carl_account_id,carl_post_id,post_type,media_url_type,published,caption,permalink,impressions,views,likes,comments,shares
@riderspardubice,instagram,4d6a67ab-9313-4f77-a82e-abb18adbca5d,ba61b1fa-0779-4ee6-86cc-fc06a80247fc,IG Story,IMAGE,17.4.2026 13:34:34,@tipsport_cz,https://www.instagram.com/stories/riderspardubice/3877322442461199422,,1107,,,
@univerzitnihokej,instagram,1e114592-3529-4cfe-9977-2598454053af,eee3bf4f-6451-4e75-a837-6cf244051737,IG Reel,VIDEO,12.3.2026 18:03:03,Za takovou střelou by se nestyděli ani naši hráči! 🤯 @csobcz cash on ice 💸,https://www.instagram.com/reel/DVyzCcBCNu2/,,7746,106,,12
@akademiciplzen,instagram,65494228-95bf-4f7b-8e68-d47d7262db66,fcd809b5-ea07-4d99-bb86-3de5fd07916e,IG Reel,VIDEO,21.3.2026 17:16:10,"Šampóny od @garnier_czsk dělají po tréninku ve sprchách vyloženě zázraky. 🤯✨

#garnierfructis #cistahlava #cistahra #ad",https://www.instagram.com/reel/DWJ37CuDHm0/,,10618,260,1,68
@cvutengineers,instagram,11963a07-7f0f-48e6-9d81-aa63a7ff4a04,ff94c2e0-a07e-4fe1-bfd5-3363796914b4,IG Reel,VIDEO,17.4.2026 6:48:23,"🚨 FINÁLE FINAL FOUR JE TADY!

 Na tento moment jsme dlouho čekali. Teď je čas jít do boje o titul mistra ULLH. Na ledě necháme všechno. 🙏🏻

Dnes od 20:15 ukážeme, v kom bije skutečné srdce lva. 🦁",https://www.instagram.com/reel/DXOSBGhDImv/,,8114,123,,16
vsefalcons,instagram,709fceba-e311-48e7-9057-f54a587abf4a,3f67c19e-9fd0-4d0a-b87e-c6aa47cf00cb,IG Story,IMAGE,31.12.2025 11:13:13,🦅,https://www.instagram.com/stories/vsefalcons/3799700340442953410,,831,,,
vsefalcons,instagram,709fceba-e311-48e7-9057-f54a587abf4a,58715e38-133e-4f92-ab41-40648660ec73,IG Story,IMAGE,22.1.2026 8:17:14,,https://www.instagram.com/stories/vsefalcons/3815556816210295056,,1086,,,
vsefalcons,instagram,709fceba-e311-48e7-9057-f54a587abf4a,7685c8fe-230f-42bb-98ed-f61fa9d8f5d8,IG Story,VIDEO,26.1.2026 18:37:38,3. TŘETINA začíná,https://www.instagram.com/stories/vsefalcons/3818768175420954767,,852,,,
vsefalcons,instagram,709fceba-e311-48e7-9057-f54a587abf4a,7e36fb4d-30db-4fd4-87b0-dc994f13d342,IG Story,VIDEO,11.3.2026 18:44:33,JE TO VENKU!,https://www.instagram.com/stories/vsefalcons/3850661758843238298,1224,656,,,
vsefalcons,instagram,709fceba-e311-48e7-9057-f54a587abf4a,87e5256f-8a42-4d46-8997-a0d61c666116,IG Story,IMAGE,8.2.2026 17:51:06,"1 3 David
Drábek
Novák",https://www.instagram.com/stories/vsefalcons/3828166811108006272,,851,,,1
@riderspardubice,instagram,4d6a67ab-9313-4f77-a82e-abb18adbca5d,b431c85c-1566-411c-8277-8a6e18ae6994,IG Post,IMAGE,10.3.2026 7:42:24,"Vstupenky na Last dance Dominika Kopeckého a Daniela Skrypa nyní jen za 50,- 😎",https://www.instagram.com/p/DVsia6qDCV4/,,2119,37,,7
vsefalcons,instagram,709fceba-e311-48e7-9057-f54a587abf4a,b79ed296-d813-43be-955e-cbfeefd6e878,IG Story,VIDEO,14.3.2026 15:42:54,KDO BUDE DNEŠNÍ JEDNIČKA ? ?,https://www.instagram.com/stories/vsefalcons/3852744688277130276,770,755,,1,
@bitvaoprahu,instagram,d7c8aa06-74fb-4c6c-a7d2-c2fe1bf6d59c,e97f5792-db0b-4f2c-afa4-1922187b0fb4,IG Post,IMAGE,12.3.2026 21:10:13,"🇨🇿 Dvojnásobný medailista z olympijských her v Miláně je mezi námi! 🤩🙏🏼

Tím není nikdo jiný než Metoděj Jílek! 🎩 #bitvaoprahu",https://www.instagram.com/p/DVzIlMODutd/,,213461,10746,1,330
vsefalcons,instagram,709fceba-e311-48e7-9057-f54a587abf4a,0ab7914a-883e-4699-81d4-965d73d6a831,IG Story,VIDEO,3.2.2026 18:35:51,@vosmajz_97  cam 📽️,https://www.instagram.com/stories/vsefalcons/3824567260086278633,,1441,,,1
@AkademiciPlzen,facebook,d87b94e3-03e8-45d0-b92e-75e9b819545c,2f5b71ad-3efd-400b-94cd-1990fcc4098f,FB Video,VIDEO,25.3.2026 18:00:29,"Dnes do první linie proti @czufarmers nastupuje tahle sestava! Jen do nich, kluci. ✨

#akademiciplzen 

#AKA vs #CZU",https://www.facebook.com/reel/1424756915471003/,1056,448,13,,
vsefalcons,instagram,709fceba-e311-48e7-9057-f54a587abf4a,5196cbd8-4978-4f54-bf5a-fc73d71f2bf6,IG Story,VIDEO,14.3.2026 15:53:09,DOBRÝ PLAYLIST  must have 💯,https://www.instagram.com/stories/vsefalcons/3852749864450922233,766,779,,,
vsefalcons,instagram,709fceba-e311-48e7-9057-f54a587abf4a,64dc7188-25ca-47bd-8daa-391efca4d90f,IG Story,VIDEO,15.1.2026 11:13:23,@mcpraha3 🤝🏼 @vsecz,https://www.instagram.com/stories/vsefalcons/3810572080916245445,,4009,,,1
