account_name,social_network_id,carl_account_id,data_date,subs,reach,page_impressions
@engineersprague,facebook,afd06d1d-7b1c-4f66-8d93-ce4255ab773c,21.4.2026,3905,,382
vsefalcons,instagram,709fceba-e311-48e7-9057-f54a587abf4a,26.1.2026,3184,806511,
@united_hk,instagram,b18c071b-0570-48b2-b743-990c668c3c5b,26.8.2026,2879,107063,
@BOhokej,facebook,c9082543-a03b-490f-8f97-66d439acce89,26.8.2026,1582,,289
@hcnorthwings,facebook,2b08a479-603b-46e4-8a48-2bc0435ccd53,10.4.2026,1171,,468
@univerzitnihokej,instagram,1e114592-3529-4cfe-9977-2598454053af,10.4.2026,13392,471895,
@bitvaoprahu,instagram,d7c8aa06-74fb-4c6c-a7d2-c2fe1bf6d59c,10.4.2026,5315,134313,
@bitva_o_budejce,instagram,f977c0af-061e-4c10-813f-da5818f8a748,12.8.2026,684,1136,
@united_hk,tiktok,7e062517-b9da-416d-b73d-a2c5899a2be6,13.6.2026,785,,
@bitvaoprahu,facebook,75e0f41f-82be-4f82-a77b-82ac11135ed2,29.8.2026,1169,,11
vsefalcons,instagram,709fceba-e311-48e7-9057-f54a587abf4a,29.8.2026,4710,2312869,
@218107044725785,facebook,7a942e3e-6c47-4794-9ba7-bbc7b6d40cb3,24.4.2026,1060,,311
@bitvaoprahu,facebook,75e0f41f-82be-4f82-a77b-82ac11135ed2,4.9.2026,1167,,9
@bitvaoprahu,instagram,d7c8aa06-74fb-4c6c-a7d2-c2fe1bf6d59c,3.9.2026,5080,587172,
@hc_muni,instagram,43cd62c8-609d-4ea6-8ce9-cae5242ede0c,23.8.2026,4594,236337,
vsefalcons,instagram,709fceba-e311-48e7-9057-f54a587abf4a,13.5.2026,4735,2000550,
@218107044725785,facebook,7a942e3e-6c47-4794-9ba7-bbc7b6d40cb3,9.4.2026,1053,,618
@engineersprague,facebook,afd06d1d-7b1c-4f66-8d93-ce4255ab773c,9.4.2026,3904,,2210
@hsubrno,facebook,86b4295e-45a1-49a4-a7a5-1a550c3f4bec,6.9.2026,717,,12
@riderspardubice,facebook,f99ed6c3-17cc-46f4-a32e-d9b0576ce2df,6.9.2026,1290,,488
@218107044725785,facebook,7a942e3e-6c47-4794-9ba7-bbc7b6d40cb3,18.7.2026,1095,,81
@akademici_plzen,tiktok,8f78cb3d-9c53-4c33-9f39-e6526fd8fa1c,6.4.2026,6072,,
@hcnorthwings,facebook,2b08a479-603b-46e4-8a48-2bc0435ccd53,6.4.2026,1171,,268
@akademiciplzen,instagram,65494228-95bf-4f7b-8e68-d47d7262db66,8.4.2026,9025,152374,
@bitva_o_budejce,instagram,f977c0af-061e-4c10-813f-da5818f8a748,8.4.2026,721,74,
