account_name,social_network_id,carl_account_id,data_date,subs,reach,page_impressions
vsefalcons,instagram,709fceba-e311-48e7-9057-f54a587abf4a,9.7.2026,4737,2273666,
vsefalcons,instagram,709fceba-e311-48e7-9057-f54a587abf4a,4.2.2026,3236,904685,
@united_hk,tiktok,7e062517-b9da-416d-b73d-a2c5899a2be6,7.5.2026,783,,
@bitvaoprahu,facebook,75e0f41f-82be-4f82-a77b-82ac11135ed2,16.4.2026,1163,,69009
vsefalcons,instagram,709fceba-e311-48e7-9057-f54a587abf4a,28.6.2026,4735,2240191,
vsefalcons,instagram,709fceba-e311-48e7-9057-f54a587abf4a,15.3.2026,4118,819641,
@hcupolomouc,facebook,2ade9992-8ce5-433a-a017-780fa6157ede,7.4.2026,1962,,11
@BOhokej,facebook,c9082543-a03b-490f-8f97-66d439acce89,5.4.2026,1584,,849
univerzitnihokej,tiktok,01c88cf9-594f-408e-a45a-95114221acae,19.4.2026,7416,,
@united_hk,instagram,b18c071b-0570-48b2-b743-990c668c3c5b,8.4.2026,2906,4989,
@akademici_plzen,tiktok,8f78cb3d-9c53-4c33-9f39-e6526fd8fa1c,13.4.2026,6072,,
@riderspardubice,instagram,4d6a67ab-9313-4f77-a82e-abb18adbca5d,13.4.2026,3880,221221,
@bitvaoprahu,facebook,75e0f41f-82be-4f82-a77b-82ac11135ed2,21.4.2026,1163,,22856
vsefalcons,instagram,709fceba-e311-48e7-9057-f54a587abf4a,4.1.2026,3041,607444,
@cvutengineers,instagram,11963a07-7f0f-48e6-9d81-aa63a7ff4a04,25.4.2026,7776,194743,
@univerzitnihokej,instagram,1e114592-3529-4cfe-9977-2598454053af,25.4.2026,13640,1097457,
@univerzitnihokej,instagram,1e114592-3529-4cfe-9977-2598454053af,10.4.2026,13392,471895,
@bitvaoprahu,instagram,d7c8aa06-74fb-4c6c-a7d2-c2fe1bf6d59c,10.4.2026,5315,134313,
@AkademiciPlzen,facebook,d87b94e3-03e8-45d0-b92e-75e9b819545c,10.4.2026,5566,,1932
@218107044725785,facebook,7a942e3e-6c47-4794-9ba7-bbc7b6d40cb3,25.6.2026,1066,,2315
@riderspardubice,facebook,f99ed6c3-17cc-46f4-a32e-d9b0576ce2df,6.4.2026,1235,,2078
@218107044725785,facebook,7a942e3e-6c47-4794-9ba7-bbc7b6d40cb3,19.6.2026,1062,,31
@akademiciplzen,instagram,65494228-95bf-4f7b-8e68-d47d7262db66,26.4.2026,9022,276830,
@riderspardubice,facebook,f99ed6c3-17cc-46f4-a32e-d9b0576ce2df,4.4.2026,1232,,1499
@univerzitnihokej,instagram,1e114592-3529-4cfe-9977-2598454053af,4.4.2026,13348,231552,
@univerzitnihokej,facebook,01b45180-0b14-4a14-96e8-d0a4bab1fb9f,3.4.2026,4921,,6025
@AkademiciPlzen,facebook,d87b94e3-03e8-45d0-b92e-75e9b819545c,3.4.2026,5555,,14746
@hcmuni,facebook,d1f9e9f9-7526-42d4-85aa-13f91e89f7cf,2.4.2026,3447,,3250
@bitvaoprahu,facebook,75e0f41f-82be-4f82-a77b-82ac11135ed2,18.4.2026,1163,,28636
@218107044725785,facebook,7a942e3e-6c47-4794-9ba7-bbc7b6d40cb3,18.4.2026,1056,,468
@akademici_plzen,tiktok,8f78cb3d-9c53-4c33-9f39-e6526fd8fa1c,18.6.2026,6039,,
@univerzitnihokej,instagram,1e114592-3529-4cfe-9977-2598454053af,12.4.2026,13417,679278,
vsefalcons,instagram,709fceba-e311-48e7-9057-f54a587abf4a,11.6.2026,4750,2171744,
@hcnorthwings,facebook,2b08a479-603b-46e4-8a48-2bc0435ccd53,20.4.2026,1170,,213
@akademiciplzen,instagram,65494228-95bf-4f7b-8e68-d47d7262db66,20.4.2026,9027,228599,
@vychodoceskederbyuniverzit,facebook,f629bac9-817b-48ec-ad8a-dcc58fc55ea9,20.4.2026,64,,
@hcupolomouc,facebook,2ade9992-8ce5-433a-a017-780fa6157ede,14.4.2026,1960,,5
@akademici_plzen,tiktok,8f78cb3d-9c53-4c33-9f39-e6526fd8fa1c,27.5.2026,6057,,
