account_name,social_network_id,carl_account_id,data_date,subs,reach,page_impressions
@riderspardubice,facebook,f99ed6c3-17cc-46f4-a32e-d9b0576ce2df,16.4.2026,1246,,1155
@218107044725785,facebook,7a942e3e-6c47-4794-9ba7-bbc7b6d40cb3,24.7.2026,1093,,16
@akademici_plzen,tiktok,8f78cb3d-9c53-4c33-9f39-e6526fd8fa1c,1.6.2026,6051,,
@bitvaoprahu,facebook,75e0f41f-82be-4f82-a77b-82ac11135ed2,12.4.2026,1136,,5502
@akademiciplzen,instagram,65494228-95bf-4f7b-8e68-d47d7262db66,27.4.2026,9020,285138,
@univerzitnihokej,facebook,01b45180-0b14-4a14-96e8-d0a4bab1fb9f,27.4.2026,4995,,16479
@engineersprague,facebook,afd06d1d-7b1c-4f66-8d93-ce4255ab773c,27.4.2026,3905,,251
vsefalcons,instagram,709fceba-e311-48e7-9057-f54a587abf4a,9.5.2026,4738,1964273,
@cvutengineers,instagram,11963a07-7f0f-48e6-9d81-aa63a7ff4a04,13.4.2026,7666,112337,
@unitedhk,facebook,bfe6cc29-a387-41b9-9bca-b077722556af,14.4.2026,370,,202
@vychodoceskederbyuniverzit,facebook,f629bac9-817b-48ec-ad8a-dcc58fc55ea9,14.4.2026,64,,3
@hcmuni,facebook,d1f9e9f9-7526-42d4-85aa-13f91e89f7cf,10.4.2026,3448,,350
@cvutengineers,instagram,11963a07-7f0f-48e6-9d81-aa63a7ff4a04,10.4.2026,7663,72196,
@united_hk,instagram,b18c071b-0570-48b2-b743-990c668c3c5b,10.4.2026,2904,10398,
@hcmuni,facebook,d1f9e9f9-7526-42d4-85aa-13f91e89f7cf,24.4.2026,3445,,5261
@VUTCavaliersBrno,facebook,3351b43e-4b71-442b-b2f1-920cd6e57ee5,24.4.2026,2020,,1985
@bitvaoprahu,facebook,75e0f41f-82be-4f82-a77b-82ac11135ed2,25.4.2026,1165,,351
@united_hk,tiktok,7e062517-b9da-416d-b73d-a2c5899a2be6,11.4.2026,778,,
@riderspardubice,instagram,4d6a67ab-9313-4f77-a82e-abb18adbca5d,11.4.2026,3875,199888,
vsefalcons,instagram,709fceba-e311-48e7-9057-f54a587abf4a,2.8.2026,4710,2292137,
@cvutengineers,instagram,11963a07-7f0f-48e6-9d81-aa63a7ff4a04,26.4.2026,7782,199221,
@boostrava,instagram,1176ddaf-d366-48a2-9639-3c6694c72c85,27.8.2026,2377,74649,
@akademici_plzen,tiktok,8f78cb3d-9c53-4c33-9f39-e6526fd8fa1c,10.6.2026,6045,,
vsefalcons,instagram,709fceba-e311-48e7-9057-f54a587abf4a,31.7.2026,4714,2291925,
@VUTCavaliersBrno,facebook,3351b43e-4b71-442b-b2f1-920cd6e57ee5,13.8.2026,2029,,25
@BOhokej,facebook,c9082543-a03b-490f-8f97-66d439acce89,13.8.2026,1582,,432
@hcmuni,facebook,d1f9e9f9-7526-42d4-85aa-13f91e89f7cf,28.8.2026,3441,,128
@hcnorthwings,facebook,2b08a479-603b-46e4-8a48-2bc0435ccd53,23.4.2026,1168,,164
@univerzitnihokej,facebook,01b45180-0b14-4a14-96e8-d0a4bab1fb9f,23.4.2026,4992,,3473
@united_hk,tiktok,7e062517-b9da-416d-b73d-a2c5899a2be6,12.6.2026,785,,
@univerzitnihokej,instagram,1e114592-3529-4cfe-9977-2598454053af,20.4.2026,13600,937940,
vsefalcons,instagram,709fceba-e311-48e7-9057-f54a587abf4a,9.4.2026,4602,1329246,
@vychodoceskederbyuniverzit,facebook,f629bac9-817b-48ec-ad8a-dcc58fc55ea9,9.4.2026,64,,3
@engineersprague,facebook,afd06d1d-7b1c-4f66-8d93-ce4255ab773c,6.9.2026,3897,,92
@hsubrno,facebook,86b4295e-45a1-49a4-a7a5-1a550c3f4bec,11.8.2026,718,,4
@vutcavaliersbrno,instagram,b384bebf-72f3-4f9d-8b2d-3677709f6966,25.8.2026,3433,194965,
@hcupolomouc,instagram,2d87eafd-cf41-4f3e-97d3-6eeb795de43b,25.8.2026,1686,214,
@218107044725785,facebook,7a942e3e-6c47-4794-9ba7-bbc7b6d40cb3,25.8.2026,1087,,26
@hcmuni,facebook,d1f9e9f9-7526-42d4-85aa-13f91e89f7cf,26.8.2026,3440,,617
@riderspardubice,instagram,4d6a67ab-9313-4f77-a82e-abb18adbca5d,8.4.2026,3872,167403,
