account_name,social_network_id,carl_account_id,carl_post_id,post_type,media_url_type,published,caption,permalink,impressions,views,likes,comments,shares
@hcmuni,facebook,d1f9e9f9-7526-42d4-85aa-13f91e89f7cf,11b2bbbf-29fb-49b2-8a5c-b4f1937f608c,FB Video,VIDEO,16.3.2026 11:53:10,"KDYŽ TO VEZMEŠ DO VLASTNÍCH RUKOU! 🤯🔥
@_novas_44_ v sobotním zápase naprosto ovládl led a vstřelil HATTRICK🚨🚨🚨

#hcmuni",https://www.facebook.com/reel/1566548107768577/,2571,1079,45,,
@akademiciplzen,instagram,65494228-95bf-4f7b-8e68-d47d7262db66,14a54476-00dc-4fdf-a9ec-c99971a1cbd5,IG Post,IMAGE,4.3.2026 11:28:09,"Co na dnešní utkání říká kapitán týmu Jakub Šucha? 🎤

Buďte u důležitého utkání s námi a pomozte nám vyhrát! 
Otevíráme FANZÓNU už v 17:30. 🤹
Poslední lístky najdeš v biu a na plzenskabitva.cz, nebo nás sleduj v 18:50 na ČT sport! 📺

#akademiciplzen 💙",https://www.instagram.com/p/DVdfHJejO5I/,,5438,96,,
@univerzitnihokej,instagram,1e114592-3529-4cfe-9977-2598454053af,ab0b4f2a-528f-428c-9807-3680402dbc92,IG Story,VIDEO,17.4.2026 16:33:32,,https://www.instagram.com/stories/univerzitnihokej/3877412522848445882,,1574,,,
@univerzitnihokej,instagram,1e114592-3529-4cfe-9977-2598454053af,c1337c12-8eae-486d-8e49-f878cf36a9c2,IG Post,IMAGE,8.4.2026 9:21:36,"V Praze dnes proběhne i poslední finálový zápas play-in. Engineers se na Hvězdě postaví pardubickým Riders. ⚔️

Statistiky mluví jasně, ale v play-in se může stát cokoliv. Kdo si vybojuje vytoužené místo ve Final Four? 🏒",https://www.instagram.com/p/DW3Y8wPCMyB/,,6897,179,,17
vsefalcons,instagram,709fceba-e311-48e7-9057-f54a587abf4a,cac2f858-b28b-4393-ac9e-2558115d2879,IG Story,VIDEO,3.2.2026 8:53:45,@martin_lev17,https://www.instagram.com/stories/vsefalcons/3824272471239700128,,952,,,1
@akademiciplzen,instagram,65494228-95bf-4f7b-8e68-d47d7262db66,35cb4809-7ad6-42c1-8263-2de040e9dd4e,IG Reel,VIDEO,17.3.2026 18:30:05,"Pravidla jsou pravidla. 🤷🏻‍♂️ Co si ale vzít musíte, je pořádná forma na fandění! 

Vidíme se 25. 3. doma proti @czufarmers 🏒🔥

#akademiciplzen",https://www.instagram.com/reel/DV_thb2DBr7/,,18069,452,4,89
@hc_muni,instagram,43cd62c8-609d-4ea6-8ce9-cae5242ede0c,36407e0c-767d-43d9-baa8-8fec2b332aed,IG Reel,VIDEO,15.4.2026 15:51:00,"DÍKY VÁM máme úžasných 42 200Kč pro Honzíka ❤️ Peníze využije na jeho rehabilitace a důležité pomůcky

Kdo by chtěl ještě přispět, odkaz na transparentní účet najdete u nás v biu👆🏻",https://www.instagram.com/reel/DXKGaiwjM2y/,,3806,94,,8
vsefalcons,instagram,709fceba-e311-48e7-9057-f54a587abf4a,45c2d0d5-e1c1-47b6-ab77-a427dbdda696,IG Story,VIDEO,16.4.2026 17:50:38,šlápnem na to!,https://www.instagram.com/stories/vsefalcons/3876726387545516346,1036,911,,2,
@unitedhk,facebook,bfe6cc29-a387-41b9-9bca-b077722556af,5c8e09b9-7253-49f9-b45e-622bde3b838a,FB Video,VIDEO,19.7.2026 12:51:18,"Včera jsme měli možnost být součástí charitativní akce Den s cyklisty. 🚴🧡

Na našem stanovišti jste si mohli vyzkoušet střelbu na branku a užít si trochu hokejové zábavy. 🏒💥

Děkujeme všem, kteří se u nás zastavili. Jsme rádi, že jsme mohli být součástí akce, která spojila sport, skvělou atmosféru a pomoc druhým. 🙏

Těšíme se na další podobná setkání! 🧡

#unitedhk #unihokej #hradeckralove #uhk #denscyklisty",https://www.facebook.com/reel/2007441653272714/,650,192,4,,
vsefalcons,instagram,709fceba-e311-48e7-9057-f54a587abf4a,a6a01959-159d-46c7-8de7-0ba6cd5a735d,IG Post,IMAGE,7.12.2025 10:44:11,"VÁNOČNÍ GIVEAWAY 🎁
Už v úterý odehrajeme vánoční zápas proti @ukkingsprague na Hvězdě, a tak pro tebe máme malý dárek v podobě vstupenek! 😏

PRAVIDLA SOUTĚŽE:
1️⃣ Napiš do komentářů, kolik vidíš na obrázku puků na ledě 🏒
2️⃣ Označ parťáka, s kterým bys chtěl/a dorazit 🤝🏼

V pondělí v 18:00 vylosujeme 5 komentářů, hodně štěstí 🍀",https://www.instagram.com/p/DR9Za4iiH8D/,,8261,80,24,29
